330 	Robbie Coltrane 	$1,531,195,115 	5 	$306,239,023
331 	Paul Newman 	$1,531,028,946 	32 	$47,844,655
332 	Chloë Grace Moretz 	$1,527,800,722 	26 	$58,761,566
333 	Anna Kendrick 	$1,525,312,626 	25 	$61,012,505
334 	Domhnall Gleeson 	$1,519,815,718 	6 	$253,302,620
335 	Stellan Skarsgård 	$1,515,206,519 	20 	$75,760,326
336 	Melissa McCarthy 	$1,513,304,227 	16 	$94,581,514
337 	Michelle Monaghan 	$1,506,010,358 	18 	$83,667,242
338 	Anna Faris 	$1,503,243,006 	15 	$100,216,200
339 	Stanley Tucci 	$1,501,567,258 	14 	$107,254,804
340 	Ben Whishaw 	$1,500,134,671 	12 	$125,011,223
341 	Heath Ledger 	$1,496,111,291 	8 	$187,013,911
342 	Isla Fisher 	$1,493,678,211 	16 	$93,354,888
343 	Eiza González 	$1,493,379,198 	10 	$149,337,920
344 	Seth MacFarlane 	$1,491,073,509 	5 	$298,214,702
345 	Naomie Harris 	$1,491,062,342 	9 	$165,673,594
346 	Danny Ramirez 	$1,487,638,838 	2 	$743,819,419
347 	Monica Barbaro 	$1,487,575,965 	3 	$495,858,655
348 	Greg Tarzan Davis 	$1,487,575,965 	1 	$1,487,575,965
349 	Zoë Kravitz 	$1,473,261,187 	11 	$133,932,835
350 	Joonas Suotamo 	$1,465,919,344 	2 	$732,959,672
351 	Felicity Jones 	$1,463,913,435 	14 	$104,565,245
352 	Elizabeth Banks 	$1,457,649,783 	21 	$69,411,894
353 	Edward Norton 	$1,457,104,830 	17 	$85,712,049
354 	Jeremy Irons 	$1,456,754,999 	16 	$91,047,187
355 	Gugu Mbatha-Raw 	$1,455,113,033 	11 	$132,283,003
356 	Ashton Kutcher 	$1,453,457,788 	15 	$96,897,186
357 	Jesse McCartney 	$1,451,399,377 	7 	$207,342,768
358 	Judi Dench 	$1,449,036,905 	20 	$72,451,845
359 	Dominic Cooper 	$1,443,133,979 	8 	$180,391,747
360 	Danny Glover 	$1,434,991,776 	22 	$65,226,899
361 	Kevin Spacey 	$1,434,453,618 	20 	$71,722,681
362 	Wesley Snipes 	$1,433,862,431 	31 	$46,253,627
363 	Jamie Dornan 	$1,431,380,136 	12 	$119,281,678
364 	Hailee Steinfeld 	$1,429,453,062 	14 	$102,103,790
365 	John Malkovich 	$1,427,552,174 	33 	$43,259,157
366 	Helen Mirren 	$1,427,199,582 	27 	$52,859,244
367 	Diego Luna 	$1,421,295,892 	8 	$177,661,987
368 	Jared Leto 	$1,417,196,221 	10 	$141,719,622
369 	Hannibal Buress 	$1,408,457,114 	5 	$281,691,423
370 	Ray Winstone 	$1,408,427,303 	9 	$156,491,923
371 	Bette Midler 	$1,406,949,340 	26 	$54,113,436
372 	James Corden 	$1,406,551,529 	10 	$140,655,153
373 	Matthew Gray Gubler 	$1,404,715,280 	7 	$200,673,611
374 	Marisa Tomei 	$1,404,663,547 	15 	$93,644,236
375 	Rebel Wilson 	$1,392,682,660 	13 	$107,129,435
376 	Michael Shannon 	$1,388,615,565 	27 	$51,430,206
377 	Nick Nolte 	$1,386,270,913 	24 	$57,761,288
378 	Mickey Rourke 	$1,383,162,256 	31 	$44,618,137
379 	Lake Bell 	$1,380,918,616 	10 	$138,091,862
380 	Wanda Sykes 	$1,374,499,772 	6 	$229,083,295
381 	Ian McShane 	$1,373,531,210 	5 	$274,706,242
382 	John Cho 	$1,368,433,593 	12 	$114,036,133
383 	Keri Russell 	$1,359,834,851 	8 	$169,979,356
384 	Jenny Slate 	$1,355,496,152 	12 	$112,958,013
385 	Ice Cube 	$1,352,001,500 	25 	$54,080,060
386 	Andy Richter 	$1,346,602,045 	2 	$673,301,023
387 	Gwendoline Christie 	$1,344,848,193 	4 	$336,212,048
388 	Eric Stonestreet 	$1,342,813,133 	3 	$447,604,378
389 	Ana de Armas 	$1,341,284,073 	11 	$121,934,916
390 	Patrick Gallagher 	$1,335,434,091 	3 	$445,144,697
391 	Mizuo Peck 	$1,335,434,091 	3 	$445,144,697
392 	Mila Kunis 	$1,333,336,387 	15 	$88,889,092
393 	Christopher Walken 	$1,309,770,172 	25 	$52,390,807
394 	Frances McDormand 	$1,309,694,394 	11 	$119,063,127
395 	Joel Kinnaman 	$1,305,334,382 	11 	$118,666,762
396 	Diane Keaton 	$1,302,908,093 	39 	$33,407,900
397 	Jamie Lee Curtis 	$1,291,489,991 	14 	$92,249,285
398 	Richard Dreyfuss 	$1,280,028,804 	14 	$91,430,629
399 	Jordan Peele 	$1,277,106,112 	4 	$319,276,528
400 	Yahya Abdul-Mateen II 	$1,273,323,444 	4 	$318,330,861
